username,waktu,teks_komentar,jumlah_likes,sumber_video,case_folding,komentar_final,bigrams
@YATSUP,6 months ago,sayang gada manual nya.. 😢,0,https://youtube.com/watch?v=HR4ELY1Xm3w,sayang gada manual nya.. 😢,"['sayang', 'gada', 'manual']","[('sayang', 'gada'), ('gada', 'manual')]"
@Minepixeler24,1 year ago,Keren sih di harga Rp300jt-an sudah dapat mobil sedan 👍.,1,https://youtube.com/watch?v=HR4ELY1Xm3w,keren sih di harga rp300jt-an sudah dapat mobil sedan 👍.,"['keren', 'harga', 'mobil', 'sedan']","[('keren', 'harga'), ('harga', 'mobil'), ('mobil', 'sedan')]"
@moriz8338,1 year ago,"cakep ya, tp sedikit di jalan",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"cakep ya, tp sedikit di jalan","['cakep', 'sedikit', 'jalan']","[('cakep', 'sedikit'), ('sedikit', 'jalan')]"
@hamdunht,1 year ago,"Empuk,enak buat bawa tamu",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"empuk,enak buat bawa tamu","['empuk', 'enak', 'buat', 'bawa', 'tamu']","[('empuk', 'enak'), ('enak', 'buat'), ('buat', 'bawa'), ('bawa', 'tamu')]"
@wawanerawan6466,1 year ago,Cek Harga & pajak tahunan nya,0,https://youtube.com/watch?v=HR4ELY1Xm3w,cek harga & pajak tahunan nya,"['cek', 'harga', 'pajak', 'tahun']","[('cek', 'harga'), ('harga', 'pajak'), ('pajak', 'tahun')]"
@siCupuu,1 year ago,Mudah-mudahan harga jual Daihatsu juga tinggi setara Toyota ya. 😊,0,https://youtube.com/watch?v=HR4ELY1Xm3w,mudah-mudahan harga jual daihatsu juga tinggi setara toyota ya. 😊,"['mudah', 'mudah', 'harga', 'jual', 'daihatsu', 'tinggi', 'tara', 'toyota']","[('mudah', 'mudah'), ('mudah', 'harga'), ('harga', 'jual'), ('jual', 'daihatsu'), ('daihatsu', 'tinggi'), ('tinggi', 'tara'), ('tara', 'toyota')]"
@hyunji_kay_zura_07hyunji_08,1 year ago,ya tuhan pantes ayah aku ngomong terus terusan pengen mobil vios ternyata mobil nya emamg se bagus itu simpel ganteng mobil nya gak berlebihan❤,0,https://youtube.com/watch?v=HR4ELY1Xm3w,ya tuhan pantes ayah aku ngomong terus terusan pengen mobil vios ternyata mobil nya emamg se bagus itu simpel ganteng mobil nya gak berlebihan❤,"['tuhan', 'pantes', 'ayah', 'aku', 'ngomong', 'terus', 'terus', 'ken', 'mobil', 'vios', 'nyata', 'mobil', 'emamg', 'bagus', 'simpel', 'ganteng', 'mobil', 'lebih']","[('tuhan', 'pantes'), ('pantes', 'ayah'), ('ayah', 'aku'), ('aku', 'ngomong'), ('ngomong', 'terus'), ('terus', 'terus'), ('terus', 'ken'), ('ken', 'mobil'), ('mobil', 'vios'), ('vios', 'nyata'), ('nyata', 'mobil'), ('mobil', 'emamg'), ('emamg', 'bagus'), ('bagus', 'simpel'), ('simpel', 'ganteng'), ('ganteng', 'mobil'), ('mobil', 'lebih')]"
@ricardoricardo2199,1 year ago,"Kalo selera saya, style eksterior nya lebih gagah Vios Gen 3. Untuk yang terbaru Gen 4 eksteriornya terkesan kurang halus  bahannya.  Makanya saya tetap bertahan pake Gen 3.",1,https://youtube.com/watch?v=HR4ELY1Xm3w,"kalo selera saya, style eksterior nya lebih gagah vios gen 3. untuk yang terbaru gen 4 eksteriornya terkesan kurang halus  bahannya.  makanya saya tetap bertahan pake gen 3.","['kalau', 'selera', 'style', 'eksterior', 'lebih', 'gagah', 'vios', 'gen', 'baru', 'gen', 'eksterior', 'kes', 'kurang', 'halus', 'bahan', 'makanya', 'tetap', 'tahan', 'pake', 'gen']","[('kalau', 'selera'), ('selera', 'style'), ('style', 'eksterior'), ('eksterior', 'lebih'), ('lebih', 'gagah'), ('gagah', 'vios'), ('vios', 'gen'), ('gen', 'baru'), ('baru', 'gen'), ('gen', 'eksterior'), ('eksterior', 'kes'), ('kes', 'kurang'), ('kurang', 'halus'), ('halus', 'bahan'), ('bahan', 'makanya'), ('makanya', 'tetap'), ('tetap', 'tahan'), ('tahan', 'pake'), ('pake', 'gen')]"
@Ayu-Wardhani,1 year ago,Gw udah pake tapi si Om nya nge review banyakan kata TAPI nya berarti negative. Kalo aku yg udah 4 bulan pake wokeh banget. Masak sih ganti ganti screen bisa kapan aja malah ga bahaya kalo nyupir pencet pencet g fokus jadi nya.,0,https://youtube.com/watch?v=HR4ELY1Xm3w,gw udah pake tapi si om nya nge review banyakan kata tapi nya berarti negative. kalo aku yg udah 4 bulan pake wokeh banget. masak sih ganti ganti screen bisa kapan aja malah ga bahaya kalo nyupir pencet pencet g fokus jadi nya.,"['udah', 'pake', 'nge', 'review', 'banyak', 'kata', 'arti', 'negative', 'kalau', 'aku', 'udah', 'bulan', 'pake', 'wokeh', 'banget', 'masak', 'ganti', 'ganti', 'screen', 'kapan', 'malah', 'bahaya', 'kalau', 'nyupir', 'pencet', 'pencet', 'fokus', 'jadi']","[('udah', 'pake'), ('pake', 'nge'), ('nge', 'review'), ('review', 'banyak'), ('banyak', 'kata'), ('kata', 'arti'), ('arti', 'negative'), ('negative', 'kalau'), ('kalau', 'aku'), ('aku', 'udah'), ('udah', 'bulan'), ('bulan', 'pake'), ('pake', 'wokeh'), ('wokeh', 'banget'), ('banget', 'masak'), ('masak', 'ganti'), ('ganti', 'ganti'), ('ganti', 'screen'), ('screen', 'kapan'), ('kapan', 'malah'), ('malah', 'bahaya'), ('bahaya', 'kalau'), ('kalau', 'nyupir'), ('nyupir', 'pencet'), ('pencet', 'pencet'), ('pencet', 'fokus'), ('fokus', 'jadi')]"
@ariyopanji905,2 years ago,"Vios bukan bikin Daihatsu min,,,tapi Assb...",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"vios bukan bikin daihatsu min,,,tapi assb...","['vios', 'bukan', 'bikin', 'daihatsu', 'min', 'assb']","[('vios', 'bukan'), ('bukan', 'bikin'), ('bikin', 'daihatsu'), ('daihatsu', 'min'), ('min', 'assb')]"
@mr.reject6959,2 years ago,Anying toyota race mobil paan tuh,0,https://youtube.com/watch?v=HR4ELY1Xm3w,anying toyota race mobil paan tuh,"['anying', 'toyota', 'race', 'mobil', 'paan', 'tuh']","[('anying', 'toyota'), ('toyota', 'race'), ('race', 'mobil'), ('mobil', 'paan'), ('paan', 'tuh')]"
@mr.reject6959,2 years ago,Latihan ngmong dlu bos. Bngung gw nangkep suara lu tiap ujung kalimat.,0,https://youtube.com/watch?v=HR4ELY1Xm3w,latihan ngmong dlu bos. bngung gw nangkep suara lu tiap ujung kalimat.,"['latih', 'ngmong', 'dlu', 'bos', 'bngung', 'nangkep', 'suara', 'tiap', 'ujung', 'kalimat']","[('latih', 'ngmong'), ('ngmong', 'dlu'), ('dlu', 'bos'), ('bos', 'bngung'), ('bngung', 'nangkep'), ('nangkep', 'suara'), ('suara', 'tiap'), ('tiap', 'ujung'), ('ujung', 'kalimat')]"
@imcat8733,2 years ago,"kaum mendang mending seperti saya,kalo punya duit segtu lebih baik sih covic pajero dan masih bnyk pilihan lain walaupun dgn kondisi second",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"kaum mendang mending seperti saya,kalo punya duit segtu lebih baik sih covic pajero dan masih bnyk pilihan lain walaupun dgn kondisi second","['kaum', 'dang', 'mending', 'kalo', 'punya', 'duit', 'segtu', 'lebih', 'baik', 'covic', 'pajero', 'bnyk', 'pilih', 'walaupun', 'dgn', 'kondisi', 'second']","[('kaum', 'dang'), ('dang', 'mending'), ('mending', 'kalo'), ('kalo', 'punya'), ('punya', 'duit'), ('duit', 'segtu'), ('segtu', 'lebih'), ('lebih', 'baik'), ('baik', 'covic'), ('covic', 'pajero'), ('pajero', 'bnyk'), ('bnyk', 'pilih'), ('pilih', 'walaupun'), ('walaupun', 'dgn'), ('dgn', 'kondisi'), ('kondisi', 'second')]"
@jualanyuk2023,2 years ago,Beli wuling Alvez saja sudah cukup. Kalau pingin enak ya pakai sopir penumpang tggl duduk makan dan tidur.,0,https://youtube.com/watch?v=HR4ELY1Xm3w,beli wuling alvez saja sudah cukup. kalau pingin enak ya pakai sopir penumpang tggl duduk makan dan tidur.,"['beli', 'wuling', 'alvez', 'cukup', 'kalau', 'pingin', 'enak', 'pakai', 'sopir', 'tumpang', 'tggl', 'duduk', 'makan', 'tidur']","[('beli', 'wuling'), ('wuling', 'alvez'), ('alvez', 'cukup'), ('cukup', 'kalau'), ('kalau', 'pingin'), ('pingin', 'enak'), ('enak', 'pakai'), ('pakai', 'sopir'), ('sopir', 'tumpang'), ('tumpang', 'tggl'), ('tggl', 'duduk'), ('duduk', 'makan'), ('makan', 'tidur')]"
@ryankriswandana5180,2 years ago,keren sihh tp vios gen 3 udh bersyukur bgt bisa jadi kendaraan harian,3,https://youtube.com/watch?v=HR4ELY1Xm3w,keren sihh tp vios gen 3 udh bersyukur bgt bisa jadi kendaraan harian,"['keren', 'sihh', 'vios', 'gen', 'udh', 'syukur', 'banget', 'jadi', 'kendara', 'hari']","[('keren', 'sihh'), ('sihh', 'vios'), ('vios', 'gen'), ('gen', 'udh'), ('udh', 'syukur'), ('syukur', 'banget'), ('banget', 'jadi'), ('jadi', 'kendara'), ('kendara', 'hari')]"
@ppprilo0o,2 years ago,olenggg mau vios ini atau city sedan😭😫😫,0,https://youtube.com/watch?v=HR4ELY1Xm3w,olenggg mau vios ini atau city sedan😭😫😫,"['olenggg', 'mau', 'vios', 'city', 'sedan']","[('olenggg', 'mau'), ('mau', 'vios'), ('vios', 'city'), ('city', 'sedan')]"
@christophorusnicholasadria7648,2 years ago,TRD (Toyota Rakitan Daihatsu),0,https://youtube.com/watch?v=HR4ELY1Xm3w,trd (toyota rakitan daihatsu),"['trd', 'toyota', 'rakit', 'daihatsu']","[('trd', 'toyota'), ('toyota', 'rakit'), ('rakit', 'daihatsu')]"
@fajarrisman7031,2 years ago,Mantap bikin sya ganti mobil nih boss...tp danaku blm lngkap bosss,1,https://youtube.com/watch?v=HR4ELY1Xm3w,mantap bikin sya ganti mobil nih boss...tp danaku blm lngkap bosss,"['mantap', 'bikin', 'sya', 'ganti', 'mobil', 'boss', 'dana', 'blm', 'lngkap', 'bosss']","[('mantap', 'bikin'), ('bikin', 'sya'), ('sya', 'ganti'), ('ganti', 'mobil'), ('mobil', 'boss'), ('boss', 'dana'), ('dana', 'blm'), ('blm', 'lngkap'), ('lngkap', 'bosss')]"
@ngoprekaja1797,2 years ago (edited),"tipe ini lagi kena skandal tes crash, kenapa vios baru ga dibuat ama toyota langsung lagi 😒",1,https://youtube.com/watch?v=HR4ELY1Xm3w,"tipe ini lagi kena skandal tes crash, kenapa vios baru ga dibuat ama toyota langsung lagi 😒","['tipe', 'kena', 'skandal', 'tes', 'crash', 'vios', 'baru', 'buat', 'ama', 'toyota', 'langsung']","[('tipe', 'kena'), ('kena', 'skandal'), ('skandal', 'tes'), ('tes', 'crash'), ('crash', 'vios'), ('vios', 'baru'), ('baru', 'buat'), ('buat', 'ama'), ('ama', 'toyota'), ('toyota', 'langsung')]"
@MakmurJaya-mi5qv,2 years ago,"Vios lawas kokoh ditikungan tidak oleng, yg baru belum pernah bawa",1,https://youtube.com/watch?v=HR4ELY1Xm3w,"vios lawas kokoh ditikungan tidak oleng, yg baru belum pernah bawa","['vios', 'lawas', 'kokoh', 'tikung', 'tidak', 'oleng', 'baru', 'pernah', 'bawa']","[('vios', 'lawas'), ('lawas', 'kokoh'), ('kokoh', 'tikung'), ('tikung', 'tidak'), ('tidak', 'oleng'), ('oleng', 'baru'), ('baru', 'pernah'), ('pernah', 'bawa')]"
@kholilurrohman2944,2 years ago,Sebenernya iya sebener nya,0,https://youtube.com/watch?v=HR4ELY1Xm3w,sebenernya iya sebener nya,"['sebenernya', 'iya', 'sebener']","[('sebenernya', 'iya'), ('iya', 'sebener')]"
@fadhil.nurilman,2 years ago,kemaren ketemu mobil ini hampir kegocek kirain civic,1,https://youtube.com/watch?v=HR4ELY1Xm3w,kemaren ketemu mobil ini hampir kegocek kirain civic,"['kemaren', 'ketemu', 'mobil', 'hampir', 'gocek', 'kirain', 'civic']","[('kemaren', 'ketemu'), ('ketemu', 'mobil'), ('mobil', 'hampir'), ('hampir', 'gocek'), ('gocek', 'kirain'), ('kirain', 'civic')]"
@wibowoadiwinata3766,2 years ago,klo namanya bukan vios. bklan lbih bnyk yg beli,0,https://youtube.com/watch?v=HR4ELY1Xm3w,klo namanya bukan vios. bklan lbih bnyk yg beli,"['kalau', 'nama', 'bukan', 'vios', 'bklan', 'lbih', 'bnyk', 'beli']","[('kalau', 'nama'), ('nama', 'bukan'), ('bukan', 'vios'), ('vios', 'bklan'), ('bklan', 'lbih'), ('lbih', 'bnyk'), ('bnyk', 'beli')]"
@zonahiburan9632,2 years ago,Vios bukan lagi taxi 😎,1,https://youtube.com/watch?v=HR4ELY1Xm3w,vios bukan lagi taxi 😎,"['vios', 'bukan', 'taxi']","[('vios', 'bukan'), ('bukan', 'taxi')]"
@dayanarung,2 years ago,Cocok untuk taksi online,1,https://youtube.com/watch?v=HR4ELY1Xm3w,cocok untuk taksi online,"['cocok', 'taksi', 'online']","[('cocok', 'taksi'), ('taksi', 'online')]"
@fitrahagungsabdapamungkas1410,2 years ago,"Bahasa Design Toyota sekarang cakep bgt, Dikelasnya Vios lumayan oke proporsinya.",6,https://youtube.com/watch?v=HR4ELY1Xm3w,"bahasa design toyota sekarang cakep bgt, dikelasnya vios lumayan oke proporsinya.","['bahasa', 'design', 'toyota', 'sekarang', 'cakep', 'bgt', 'kelas', 'vios', 'lumayan', 'oke', 'proporsi']","[('bahasa', 'design'), ('design', 'toyota'), ('toyota', 'sekarang'), ('sekarang', 'cakep'), ('cakep', 'bgt'), ('bgt', 'kelas'), ('kelas', 'vios'), ('vios', 'lumayan'), ('lumayan', 'oke'), ('oke', 'proporsi')]"
@muhammadamirudin4839,2 years ago,Mau tanya deh. Tempatnya kaua kenal kaya di Bintaro atau BSD suasananya,0,https://youtube.com/watch?v=HR4ELY1Xm3w,mau tanya deh. tempatnya kaua kenal kaya di bintaro atau bsd suasananya,"['mau', 'tanya', 'tempat', 'kaua', 'kenal', 'kaya', 'bintaro', 'bsd', 'suasana']","[('mau', 'tanya'), ('tanya', 'tempat'), ('tempat', 'kaua'), ('kaua', 'kenal'), ('kenal', 'kaya'), ('kaya', 'bintaro'), ('bintaro', 'bsd'), ('bsd', 'suasana')]"
@channelnyasidul1593,2 years ago,Sedan paling reasonable,2,https://youtube.com/watch?v=HR4ELY1Xm3w,sedan paling reasonable,"['sedan', 'paling', 'reasonable']","[('sedan', 'paling'), ('paling', 'reasonable')]"
@vesperv.9458,2 years ago,mobil ga enak,0,https://youtube.com/watch?v=HR4ELY1Xm3w,mobil ga enak,"['mobil', 'enak']","[('mobil', 'enak')]"
@ReaperSideGaming,2 years ago,"tunggu varian GR nya.. bakal Keren Abizzz, ga kalah sama AGYA GR",8,https://youtube.com/watch?v=HR4ELY1Xm3w,"tunggu varian gr nya.. bakal keren abizzz, ga kalah sama agya gr","['tunggu', 'varian', 'bakal', 'keren', 'abizzz', 'kalah', 'sama', 'agya']","[('tunggu', 'varian'), ('varian', 'bakal'), ('bakal', 'keren'), ('keren', 'abizzz'), ('abizzz', 'kalah'), ('kalah', 'sama'), ('sama', 'agya')]"
@tjetjepherdirukmana8248,2 years ago,"Duit 300an juta dulu kebeli Corolla Altis type V 2.000cc gen 2, sekarang dengan jumlah duit yang sama ""cuma"" kebeli Vios. Oh Inflasi.",7,https://youtube.com/watch?v=HR4ELY1Xm3w,"duit 300an juta dulu kebeli corolla altis type v 2.000cc gen 2, sekarang dengan jumlah duit yang sama ""cuma"" kebeli vios. oh inflasi.","['duit', 'juta', 'dulu', 'kebel', 'corolla', 'altis', 'type', 'gen', 'sekarang', 'jumlah', 'duit', 'sama', 'cuma', 'kebel', 'vios', 'inflasi']","[('duit', 'juta'), ('juta', 'dulu'), ('dulu', 'kebel'), ('kebel', 'corolla'), ('corolla', 'altis'), ('altis', 'type'), ('type', 'gen'), ('gen', 'sekarang'), ('sekarang', 'jumlah'), ('jumlah', 'duit'), ('duit', 'sama'), ('sama', 'cuma'), ('cuma', 'kebel'), ('kebel', 'vios'), ('vios', 'inflasi')]"
@radenyoga9961,2 years ago,wahhh kece sihh keren parahh tinggal ganti logo lexus jg org percaya wkwkwkw,3,https://youtube.com/watch?v=HR4ELY1Xm3w,wahhh kece sihh keren parahh tinggal ganti logo lexus jg org percaya wkwkwkw,"['wahhh', 'keren', 'sihh', 'keren', 'parahh', 'tinggal', 'ganti', 'logo', 'lexus', 'org', 'percaya', 'wkwkwkw']","[('wahhh', 'keren'), ('keren', 'sihh'), ('sihh', 'keren'), ('keren', 'parahh'), ('parahh', 'tinggal'), ('tinggal', 'ganti'), ('ganti', 'logo'), ('logo', 'lexus'), ('lexus', 'org'), ('org', 'percaya'), ('percaya', 'wkwkwkw')]"
@PeterBeckenbauer,2 years ago,"Come on, masa channel sekelas OtoDriver pake talent reviewer yang ga well groomed gini sih? Itu kuku jari - jari tangan ngeri amat.",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"come on, masa channel sekelas otodriver pake talent reviewer yang ga well groomed gini sih? itu kuku jari - jari tangan ngeri amat.","['come', 'masa', 'channel', 'kelas', 'otodriver', 'pake', 'talent', 'reviewer', 'well', 'groomed', 'gin', 'kuku', 'jari', 'jari', 'tangan', 'ngeri']","[('come', 'masa'), ('masa', 'channel'), ('channel', 'kelas'), ('kelas', 'otodriver'), ('otodriver', 'pake'), ('pake', 'talent'), ('talent', 'reviewer'), ('reviewer', 'well'), ('well', 'groomed'), ('groomed', 'gin'), ('gin', 'kuku'), ('kuku', 'jari'), ('jari', 'jari'), ('jari', 'tangan'), ('tangan', 'ngeri')]"
@PeterBeckenbauer,2 years ago,"Duit 300an juta dulu kebeli Camry XV30 awal - awal baru muncul, sekarang dengan jumlah duit yang sama ""cuma"" kebeli Vios. Oh inflasi.",84,https://youtube.com/watch?v=HR4ELY1Xm3w,"duit 300an juta dulu kebeli camry xv30 awal - awal baru muncul, sekarang dengan jumlah duit yang sama ""cuma"" kebeli vios. oh inflasi.","['duit', 'juta', 'dulu', 'kebel', 'camry', 'awal', 'awal', 'baru', 'muncul', 'sekarang', 'jumlah', 'duit', 'sama', 'cuma', 'kebel', 'vios', 'inflasi']","[('duit', 'juta'), ('juta', 'dulu'), ('dulu', 'kebel'), ('kebel', 'camry'), ('camry', 'awal'), ('awal', 'awal'), ('awal', 'baru'), ('baru', 'muncul'), ('muncul', 'sekarang'), ('sekarang', 'jumlah'), ('jumlah', 'duit'), ('duit', 'sama'), ('sama', 'cuma'), ('cuma', 'kebel'), ('kebel', 'vios'), ('vios', 'inflasi')]"
@fianrofiandi3732,2 years ago,Gatel bet liat kukunya,2,https://youtube.com/watch?v=HR4ELY1Xm3w,gatel bet liat kukunya,"['gatel', 'bet', 'liat', 'kuku']","[('gatel', 'bet'), ('bet', 'liat'), ('liat', 'kuku')]"
@EradigdayaSoundMachine,2 years ago,"head to head dengan MG, mending MG",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"head to head dengan mg, mending mg","['head', 'head', 'mending']","[('head', 'head'), ('head', 'mending')]"
@arw5648,2 years ago (edited),"mkin bgs kekupekupean, lexus style",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"mkin bgs kekupekupean, lexus style","['mkin', 'bgs', 'kupe', 'lexus', 'style']","[('mkin', 'bgs'), ('bgs', 'kupe'), ('kupe', 'lexus'), ('lexus', 'style')]"
@shony0303,2 years ago,Vios g 2011 nyimak,0,https://youtube.com/watch?v=HR4ELY1Xm3w,vios g 2011 nyimak,"['vios', 'nyimak']","[('vios', 'nyimak')]"
@CattyCimi,2 years ago,"Suaranya g jelas, hanya fitra eri saja yg enak membawakan sebuah review mobil",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"suaranya g jelas, hanya fitra eri saja yg enak membawakan sebuah review mobil","['suara', 'jelas', 'fitra', 'eri', 'enak', 'bawa', 'buah', 'review', 'mobil']","[('suara', 'jelas'), ('jelas', 'fitra'), ('fitra', 'eri'), ('eri', 'enak'), ('enak', 'bawa'), ('bawa', 'buah'), ('buah', 'review'), ('review', 'mobil')]"
@anggia.2573,2 years ago,"Avanza ber-ground clearance rendah, feel nyetir-nya plek ketiplek sama bgt beda posisi nyetir doank.. 😅",7,https://youtube.com/watch?v=HR4ELY1Xm3w,"avanza ber-ground clearance rendah, feel nyetir-nya plek ketiplek sama bgt beda posisi nyetir doank.. 😅","['avanza', 'ber', 'ground', 'clearance', 'rendah', 'feel', 'nyetir', 'plek', 'ketiplek', 'sama', 'banget', 'beda', 'posisi', 'nyetir', 'doank']","[('avanza', 'ber'), ('ber', 'ground'), ('ground', 'clearance'), ('clearance', 'rendah'), ('rendah', 'feel'), ('feel', 'nyetir'), ('nyetir', 'plek'), ('plek', 'ketiplek'), ('ketiplek', 'sama'), ('sama', 'banget'), ('banget', 'beda'), ('beda', 'posisi'), ('posisi', 'nyetir'), ('nyetir', 'doank')]"
@boy_92,2 years ago,Dan 300jt dulu setara 500jt skrg.,14,https://youtube.com/watch?v=HR4ELY1Xm3w,dan 300jt dulu setara 500jt skrg.,"['dulu', 'tara', 'skrg']","[('dulu', 'tara'), ('tara', 'skrg')]"
@abalabal6417,2 years ago, @boy_92  cukai pajak oknumnya yg bikin harga mobil naik 😀,8,https://youtube.com/watch?v=HR4ELY1Xm3w, @boy_92  cukai pajak oknumnya yg bikin harga mobil naik 😀,"['cukai', 'pajak', 'oknum', 'bikin', 'harga', 'mobil', 'naik']","[('cukai', 'pajak'), ('pajak', 'oknum'), ('oknum', 'bikin'), ('bikin', 'harga'), ('harga', 'mobil'), ('mobil', 'naik')]"
@KWB77,2 years ago,Tapi kan diiringi dgn UMR dan pendapatan yg meningkat jg. Jdi fine2 aja,9,https://youtube.com/watch?v=HR4ELY1Xm3w,tapi kan diiringi dgn umr dan pendapatan yg meningkat jg. jdi fine2 aja,"['kan', 'iring', 'dgn', 'umr', 'tingkat', 'jadi', 'fine']","[('kan', 'iring'), ('iring', 'dgn'), ('dgn', 'umr'), ('umr', 'tingkat'), ('tingkat', 'jadi'), ('jadi', 'fine')]"
@KWB77,2 years ago, @boy_92  klo mau bahas dlu sih bensin  jg dlu 4.500,9,https://youtube.com/watch?v=HR4ELY1Xm3w, @boy_92  klo mau bahas dlu sih bensin  jg dlu 4.500,"['kalau', 'mau', 'bahas', 'dlu', 'bensin', 'dlu']","[('kalau', 'mau'), ('mau', 'bahas'), ('bahas', 'dlu'), ('dlu', 'bensin'), ('bensin', 'dlu')]"
@pasukanlangit2401,2 years ago,"Dulu jaman gw SD nasi kucing 100 perak, skrg di jakarta nasi kucing 2.500 😂
Ya wajar UMR jawa barat aja udah sampe 4jt, dibanding dulu cm ratusan ribu",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"dulu jaman gw sd nasi kucing 100 perak, skrg di jakarta nasi kucing 2.500 😂
ya wajar umr jawa barat aja udah sampe 4jt, dibanding dulu cm ratusan ribu","['dulu', 'jaman', 'nasi', 'kucing', 'perak', 'sekarang', 'jakarta', 'nasi', 'kucing', 'wajar', 'umr', 'jawa', 'barat', 'udah', 'sampe', 'banding', 'dulu', 'ratus', 'ribu']","[('dulu', 'jaman'), ('jaman', 'nasi'), ('nasi', 'kucing'), ('kucing', 'perak'), ('perak', 'sekarang'), ('sekarang', 'jakarta'), ('jakarta', 'nasi'), ('nasi', 'kucing'), ('kucing', 'wajar'), ('wajar', 'umr'), ('umr', 'jawa'), ('jawa', 'barat'), ('barat', 'udah'), ('udah', 'sampe'), ('sampe', 'banding'), ('banding', 'dulu'), ('dulu', 'ratus'), ('ratus', 'ribu')]"
@robertkong4291,2 years ago," @boy_92  yaudah fokus kerja, nabung dan musti kreatif,  biar bisa cepet kebeli, kl ngeluh2 aja cuman buang2 waktu dan ga akan kebeli apa apa",3,https://youtube.com/watch?v=HR4ELY1Xm3w," @boy_92  yaudah fokus kerja, nabung dan musti kreatif,  biar bisa cepet kebeli, kl ngeluh2 aja cuman buang2 waktu dan ga akan kebeli apa apa","['yaudah', 'fokus', 'kerja', 'nabung', 'musti', 'kreatif', 'biar', 'cepet', 'kebel', 'ngeluh', 'cuman', 'buang', 'waktu', 'kebel', 'apa', 'apa']","[('yaudah', 'fokus'), ('fokus', 'kerja'), ('kerja', 'nabung'), ('nabung', 'musti'), ('musti', 'kreatif'), ('kreatif', 'biar'), ('biar', 'cepet'), ('cepet', 'kebel'), ('kebel', 'ngeluh'), ('ngeluh', 'cuman'), ('cuman', 'buang'), ('buang', 'waktu'), ('waktu', 'kebel'), ('kebel', 'apa'), ('apa', 'apa')]"
@boy_92,2 years ago, @robertkong4291  bukan gw yg ngeluh. Tuh gw  ngomentari yg bilang 300jt dulu dapat lebih. Dan skrg cuma dapat vios. 300jt dulu disamain skrg,1,https://youtube.com/watch?v=HR4ELY1Xm3w, @robertkong4291  bukan gw yg ngeluh. tuh gw  ngomentari yg bilang 300jt dulu dapat lebih. dan skrg cuma dapat vios. 300jt dulu disamain skrg,"['bukan', 'ngeluh', 'tuh', 'ngomentari', 'bilang', 'dulu', 'lebih', 'sekarang', 'cuma', 'vios', 'dulu', 'disamain', 'sekarang']","[('bukan', 'ngeluh'), ('ngeluh', 'tuh'), ('tuh', 'ngomentari'), ('ngomentari', 'bilang'), ('bilang', 'dulu'), ('dulu', 'lebih'), ('lebih', 'sekarang'), ('sekarang', 'cuma'), ('cuma', 'vios'), ('vios', 'dulu'), ('dulu', 'disamain'), ('disamain', 'sekarang')]"
@robertkong4291,2 years ago, @boy_92  mantab bos kl gt 👍,0,https://youtube.com/watch?v=HR4ELY1Xm3w, @boy_92  mantab bos kl gt 👍,"['mantab', 'bos']","[('mantab', 'bos')]"
@dimasagusmaulana9123,2 years ago,"Vios emang mahal dari dulu, mau murah ya limo haha",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"vios emang mahal dari dulu, mau murah ya limo haha","['vios', 'emang', 'mahal', 'dulu', 'mau', 'murah', 'limo', 'haha']","[('vios', 'emang'), ('emang', 'mahal'), ('mahal', 'dulu'), ('dulu', 'mau'), ('mau', 'murah'), ('murah', 'limo'), ('limo', 'haha')]"
@RajaKurcaci,2 years ago,"dan gw kaget... di Madinah duit 2.5 m bisa dapat Landcruiser baru + Voxy baru 

di indo, dapat landcruiser bekas..goodjob indoneaia",3,https://youtube.com/watch?v=HR4ELY1Xm3w,"dan gw kaget... di madinah duit 2.5 m bisa dapat landcruiser baru + voxy baru 

di indo, dapat landcruiser bekas..goodjob indoneaia","['kaget', 'madinah', 'duit', 'landcruiser', 'baru', 'voxy', 'baru', 'indo', 'landcruiser', 'bekas', 'goodjob', 'indoneaia']","[('kaget', 'madinah'), ('madinah', 'duit'), ('duit', 'landcruiser'), ('landcruiser', 'baru'), ('baru', 'voxy'), ('voxy', 'baru'), ('baru', 'indo'), ('indo', 'landcruiser'), ('landcruiser', 'bekas'), ('bekas', 'goodjob'), ('goodjob', 'indoneaia')]"
@schen6852,2 years ago,"Zaman XV30 baru keluar UMR Jakarta aja masih 500an sekarang 5jt lebih, jelas mahalan 300jt dulu",0,https://youtube.com/watch?v=HR4ELY1Xm3w,"zaman xv30 baru keluar umr jakarta aja masih 500an sekarang 5jt lebih, jelas mahalan 300jt dulu","['zaman', 'baru', 'keluar', 'umr', 'jakarta', 'sekarang', 'lebih', 'jelas', 'mahal', 'dulu']","[('zaman', 'baru'), ('baru', 'keluar'), ('keluar', 'umr'), ('umr', 'jakarta'), ('jakarta', 'sekarang'), ('sekarang', 'lebih'), ('lebih', 'jelas'), ('jelas', 'mahal'), ('mahal', 'dulu')]"
