username,waktu,teks_komentar,jumlah_likes,sumber_video
@anggia.2573,2 years ago,"Avanza ber-ground clearance rendah, feel nyetir-nya plek ketiplek sama bgt beda posisi nyetir doank.. 😅",7,https://youtube.com/watch?v=HR4ELY1Xm3w
@boy_92,2 years ago,Dan 300jt dulu setara 500jt skrg.,14,https://youtube.com/watch?v=HR4ELY1Xm3w
@abalabal6417,2 years ago, @boy_92  cukai pajak oknumnya yg bikin harga mobil naik 😀,8,https://youtube.com/watch?v=HR4ELY1Xm3w
@KWB77,2 years ago,Tapi kan diiringi dgn UMR dan pendapatan yg meningkat jg. Jdi fine2 aja,9,https://youtube.com/watch?v=HR4ELY1Xm3w
@KWB77,2 years ago, @boy_92  klo mau bahas dlu sih bensin  jg dlu 4.500,9,https://youtube.com/watch?v=HR4ELY1Xm3w
@pasukanlangit2401,2 years ago,"Dulu jaman gw SD nasi kucing 100 perak, skrg di jakarta nasi kucing 2.500 😂
Ya wajar UMR jawa barat aja udah sampe 4jt, dibanding dulu cm ratusan ribu",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@robertkong4291,2 years ago," @boy_92  yaudah fokus kerja, nabung dan musti kreatif,  biar bisa cepet kebeli, kl ngeluh2 aja cuman buang2 waktu dan ga akan kebeli apa apa",3,https://youtube.com/watch?v=HR4ELY1Xm3w
@boy_92,2 years ago, @robertkong4291  bukan gw yg ngeluh. Tuh gw  ngomentari yg bilang 300jt dulu dapat lebih. Dan skrg cuma dapat vios. 300jt dulu disamain skrg,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@robertkong4291,2 years ago, @boy_92  mantab bos kl gt 👍,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@dimasagusmaulana9123,2 years ago,"Vios emang mahal dari dulu, mau murah ya limo haha",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@RajaKurcaci,2 years ago,"dan gw kaget... di Madinah duit 2.5 m bisa dapat Landcruiser baru + Voxy baru 

di indo, dapat landcruiser bekas..goodjob indoneaia",3,https://youtube.com/watch?v=HR4ELY1Xm3w
@schen6852,2 years ago,"Zaman XV30 baru keluar UMR Jakarta aja masih 500an sekarang 5jt lebih, jelas mahalan 300jt dulu",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@michaelbenjamin8981,2 years ago,kalau mikir perbandingan kayak gitu mending beli sepeda .. aja ..,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@xborg7117,2 years ago,Di 100 tahun kedepan harga lcgc paling murah 1 miliar rupiah. 😂,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@fahmialkarim2806,2 years ago,Dulu gue ada 300 rupiah bisa beli indomie skrg sudah 3000,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@mas_okis666,2 years ago,selama pendapatan ikut nambah sih gak masalah,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@yonn_mee,2 years ago,Saya kira 300jt sudah murah hehe😅,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@ahmadismail6453,1 year ago (edited)," @KWB77  nope, perbandingan kenaikam umr dengan harga"" sekarang itu 1 banding 3",1,https://youtube.com/watch?v=HR4ELY1Xm3w
@KWB77,1 year ago (edited), @ahmadismail6453  bro my reply about 9 months ago 💀,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@preddyreinrein5283,1 year ago,Y klo jaman skrng uang 300 disuruh buat beli camry kyk gtunya ogah lol wkwk,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@KWB77,2 years ago (edited),Yaah kita tau Toyota males berinovasi dan harga mkin Overprice. Semoga dgn hadirnya wuling bisa bkin mereka buka mata,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@pasukanlangit2401,2 years ago,"Hah?? Feel nyetir plek ketiplek avanza? Vios yg ini? Gw sama2 punya vios ama avanza, rasanya ya beda jauh lah 😂 avanza kaya kaleng terbang, vios lebih kedap lebih empuk 😂",2,https://youtube.com/watch?v=HR4ELY1Xm3w
@chaniagoboyarfi6448,2 years ago,karena trend mobil kearah cross over dan suv.. napa nggak yaris cross yang dimasukkan ya,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@andrew7106,2 years ago (edited),"Udah illfeel karna gaya bicaranya yg suka bilang ""eh.. ehh.."" ditambah illfeel lagi sama kukunya yg panjang2 🤮🤮",1,https://youtube.com/watch?v=HR4ELY1Xm3w
@ereinaldy20,2 years ago,belakangnya bagus... depannya ga banget.. gua rasa akan lebih bagus klo posisi lampu depan di hilangkan.. lampunya pindah ke GARIS melintang yg nempel logo itu ( kayak mobil listrik ) pasti lebih bagus.  gua udah coba hapus posisi lampu depan pake photoshop dna bikin garis melintang itu lampu LED jadinya KEREN kayak mobil pininfarina,9,https://youtube.com/watch?v=HR4ELY1Xm3w
@harimoroagung226,2 years ago,civic mini,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@revanstevano6312,2 years ago,Gen 3/4 versi vios yang paling sangar 😄,5,https://youtube.com/watch?v=HR4ELY1Xm3w
@agungraga1771,2 years ago,pantesan dulu ada embel embel TRD (toyota rakitan daihatsu),16,https://youtube.com/watch?v=HR4ELY1Xm3w
@paksipm,2 years ago,Ada line keeping assist???,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@dennyindrasetiawan7524,2 years ago,Mobil Vios nya mirip MG ya,2,https://youtube.com/watch?v=HR4ELY1Xm3w
@ramoskiky8325,2 years ago,Klo om Fitra yg review pasti lebih menarik. ☕️,4,https://youtube.com/watch?v=HR4ELY1Xm3w
@danielperdanaam3,2 years ago,"jadi keren vios sekarang ya, model desainnya lebih ke eropa dan mirip bgt sama Lexus",29,https://youtube.com/watch?v=HR4ELY1Xm3w
@manusiagendut9745,2 years ago,"sangat disayangkan semua mobil generasi terbaru sudah tidak ada temperature nya lagi, dan hanya mengandalkan sensor menyala merah bila sudah terlanjur overheat.

sungguh inovasi yg salah kaprah.
bagaimanapun juga memiliki temperature dengan jarum sangatlah penting, karena kita bisa waspada sebelum overheat bila jarum naik lebih dr biasanya.

inovasi masa kini yg bikin kecewa!",18,https://youtube.com/watch?v=HR4ELY1Xm3w
@nickofabriano,2 years ago,Potong kuku,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@muhammadharits2593,2 years ago,Blm tss 3.0 ya?,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@Rismanbejoselawase,2 years ago,Vios Heatback  lebih keren...,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@daanishtranggana3787,2 years ago,Vios!!,3,https://youtube.com/watch?v=HR4ELY1Xm3w
@abrahamchandra2966,2 years ago,"Silahkan beli vios, imagenya udah gak mobil taksi lagi.. taksi skrng pake avanza..",6,https://youtube.com/watch?v=HR4ELY1Xm3w
@anp6301,2 years ago,vios tiap generasi nya makin ganteng aja apa lagi yg ini jadi terlihat lebih mahal di banding kelas nya,17,https://youtube.com/watch?v=HR4ELY1Xm3w
@dayanarung,2 years ago,Pas buat keliling dunia mobil ini karena irit,2,https://youtube.com/watch?v=HR4ELY1Xm3w
@Lito1601,2 years ago,💯,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@grillzbarber2594,2 years ago,"Bila nak masuk Malaysia🇲🇾,cantiknyaa ❤",4,https://youtube.com/watch?v=HR4ELY1Xm3w
@channelnyasidul1593,2 years ago,Buat gantiin Rush,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@rian132ful,2 years ago,Punggung kura kura nya emang mirip MG ya,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@zidaner.p2820,2 years ago,Bukannya lexus brand jepang ya?,5,https://youtube.com/watch?v=HR4ELY1Xm3w
@nDry.Julian,2 years ago, @zidaner.p2820  dia ga bilang Lexus bikinan Eropa sih...,6,https://youtube.com/watch?v=HR4ELY1Xm3w
@Roni-ph6ow,2 years ago,serius broooo?????,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@emo137,2 years ago,"kn itu masalah teknis doang,misal jika temperatur melebihi setengah katakanlah 100 C maka itu udh overheat dan mobil harus dimatikan,ya disensor yg make lampu jg gtu kok,kl udh ngebaca suhu diatas normal dia nyala,sama aja kok cuma dibikin lebih modern dan trlihat minimalis aja di speedometernya",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@channelnyasidul1593,2 years ago,Nyala tetap ada toleransinya,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@Yang_Mulia,9 months ago,"mungkin krna udah pke ecu jadi di anggap cukup ""smart"" jadi gk butuh jarum manual lagi",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@Rismanbejoselawase,2 years ago,Kalo ada,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@dayanarung,2 years ago,Inilah daihatsu classy yang sebenarnya,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@Carefreeblues,2 years ago,Emang lebih mahal juga brai haha.,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@larasyulianti3505,2 years ago,"Masih tetap agak gimana gitu
Kalau dia yang review 😢",5,https://youtube.com/watch?v=HR4ELY1Xm3w
@rc_frames,2 years ago,All New City Sedan belum pernah dibuat full reviewnya 😢,2,https://youtube.com/watch?v=HR4ELY1Xm3w
@Indobus_Official,2 years ago,Velg nya mirip kyk avanza G,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@MoodAndVibes01,2 years ago,Warna itemnya pasti cakep,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@rimbat2344,2 years ago,Mgkn mode berkendara yg bisa diaktifkan bersamaan bisa ditindaklanjuti segera soalnya bisa bikin confuse jg apa akan ada kendala pada sistem ECU dll..,5,https://youtube.com/watch?v=HR4ELY1Xm3w
@Agus-xl5xb,2 years ago,Mesin ini sama kayak dipakai mesinnya si toyota veloz dan toyota rush 3:28?.,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@sabdaalamteduhnusa1647,2 years ago,Nunggu video komparasi lawan city sedan & mazda 2 sedan,3,https://youtube.com/watch?v=HR4ELY1Xm3w
@nurifaoziyah6661,2 years ago,"Sedan yang lebih layak memakai logo Daihatsu.
😂",16,https://youtube.com/watch?v=HR4ELY1Xm3w
@irfan-oi1ir,2 years ago,kukunya ngeri euy 4:57,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@serge2nd,2 years ago,kok kukunya belum dipotong sih bang?,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@dayanarung,2 years ago,1:48 jadi the real daihatsu charade reborn,3,https://youtube.com/watch?v=HR4ELY1Xm3w
@dayanarung,2 years ago,Ini baru daihatsu classy,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@dayanarung,2 years ago,Ini Classy reborn,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@dayanarung,2 years ago,The real Daihatsu Classy,19,https://youtube.com/watch?v=HR4ELY1Xm3w
@pajenkerz,2 years ago,"nunggu bekasan taksi aja lah,,wkwkwkwk",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@tflramd,2 years ago,"sumpah berubah bnget y,gue dah sering liat toyota tpi gk ke vios dan kawan2nya,baru liat riview otodriver,busett brubah total,hbis dulu vios facelift2 aj jdi bosen🤣🤣🤣",1,https://youtube.com/watch?v=HR4ELY1Xm3w
@muhammaddimassulistyo,2 years ago,"Trd
Toyota rakitan daihatsu",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@v.p.channel9087,2 years ago,Bahasa desainnya apakah masih masuk Keen Look nya di tahun 2010-an?,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@broell7288,2 years ago,TAXi !,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@Vrozion,2 years ago,"Asikk review nya, informatif. Thank youuu",5,https://youtube.com/watch?v=HR4ELY1Xm3w
@aripriduwan3457,2 years ago,"kan 1 mesin buat rame2, avanza, veloz, xenia, rush, terios dll",1,https://youtube.com/watch?v=HR4ELY1Xm3w
@Agus-xl5xb,2 years ago,Iya betul sekali,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@dayanarung,2 years ago,Memang. Ini baru THE REAL daihatsu Classy. Kan Classy itu dibuat untuk solusi sedan terjangkau,7,https://youtube.com/watch?v=HR4ELY1Xm3w
@chaniagoboyarfi6448,2 years ago,toyota group strategi..,2,https://youtube.com/watch?v=HR4ELY1Xm3w
@pasukanlangit2401,2 years ago,"Taksi limo ga ada versi maticnya, coba dulu lah vios matic yg asli. Jangan dibandingin avanza, calya, agya mobil kaleng terbang semua itu rasanya 😂",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@kemalpratama23,2 years ago,Ini Toyota Vios kalau logonya diganti Daihatsu langsung berubah nama jadi Daihatsu Classy,19,https://youtube.com/watch?v=HR4ELY1Xm3w
@tbgrandprixengineering,2 years ago,Vios sedan gak mewah-mewah amat tapi fitur nya untuk gen sekarang kek wah banget,14,https://youtube.com/watch?v=HR4ELY1Xm3w
@Lord.Dewa.,2 years ago,"Sayang banget ga TNGA, tapi okelah bisa jadi whislist 2023.",9,https://youtube.com/watch?v=HR4ELY1Xm3w
@bsuyono,2 years ago,Kangen vios jadul isi premium..temen kemana mana selama 12 tahun...uirittttt polllll,11,https://youtube.com/watch?v=HR4ELY1Xm3w
@FunnyShort8989,2 years ago,TRD = Toyota Rasa Daihatsu,3,https://youtube.com/watch?v=HR4ELY1Xm3w
@moezibdork666,2 years ago,Mantul 🔥,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@alifprasetyo7444,2 years ago (edited),"TRD
TOYOTA RAKITAN DAIHATSU🤣🤣",2,https://youtube.com/watch?v=HR4ELY1Xm3w
@kodok4633,2 years ago,Bagus ini Mobil,3,https://youtube.com/watch?v=HR4ELY1Xm3w
@herdikul,2 years ago,keren deh..,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@r..n3738,2 years ago,Mantapppp,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@taufiktriadi9618,2 years ago,Shell super,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@ilhamridwan9295,2 years ago,Mantaps,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@genkerentv2112,2 years ago,Pertalite,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@Shaa.6,2 years ago,lumayan menarik,2,https://youtube.com/watch?v=HR4ELY1Xm3w
@muhammadfarid6327,2 years ago,3,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@suryantogunamitta5056,2 years ago,Tim gercep,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@yusupilham3866,2 years ago,1,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@dayanarung,2 years ago,Ya memang ini daihatsu classy reborn,6,https://youtube.com/watch?v=HR4ELY1Xm3w
@kemalpratama23,2 years ago (edited), @dayanarung   tinggal nunggu ngeluarin versi Daihatsu dari Toyota Vios,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@mrtiesthatbind,3 months ago,TSS dan ADAS yang bikin mahal. Jangan lupa ini CBU dari Thailand,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@ilhamy8873,2 years ago,"Sama aja ah, mau TNGA atau DNGA sama wong masih 1 group perusahaan",5,https://youtube.com/watch?v=HR4ELY1Xm3w
@Lord.Dewa.,2 years ago," @ilhamy8873  oalahh, kirain ada perbedaan karena TNGA dipake mobil2 yg lumayan mahal nya toyota kaya corolla cross, voxy dll.. ternyata sama aja.",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@chaniagoboyarfi6448,2 years ago,ini pake dnga,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@chaniagoboyarfi6448,2 years ago, @Lord.Dewa.  tadi kirain pake platformnya tnga yaris ..yaris cross atau aygo x,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@dayanarung,2 years ago,Ini sih daihatsu classy,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@Hi-vy9lu,2 years ago," @ilhamy8873  TNGA untuk platform mobil yang midclass kali ya istilahnya, klo DNGA untuk yg entry level. Beda secara keseluruhan, walaupun penggunaannya sharing antara Daihatsu dan Toyota",1,https://youtube.com/watch?v=HR4ELY1Xm3w
@chaniagoboyarfi6448,2 years ago, @Hi-vy9lu  benar sih .. strategi toyota .. sharingnya nggak hanya daihatsu .. mazda suzuki dan subaru juga,1,https://youtube.com/watch?v=HR4ELY1Xm3w
@dayanarung,2 years ago (edited)," @ilhamy8873  kalau diurutkan
1. DNGA
2. TNGA-B
3. TNGA-C
4. TNGA-K",0,https://youtube.com/watch?v=HR4ELY1Xm3w
@pushuplife,1 year ago,Vios tahun berapa ?,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@mcchonky5709,1 year ago, @pushuplife  vios yang dipake taxi pokoknya,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@dayanarung,2 years ago (edited),Lebih tepatnya ini Daihatsu Classy reborn,0,https://youtube.com/watch?v=HR4ELY1Xm3w
@warawiribae,11 days ago,cakep bgt sih menurut saya 😂,0,https://youtube.com/watch?v=FDU3zV2_n04
@lifetostruggleandsuffer,2 weeks ago,..iya bukan taksi tapi CVT😴,0,https://youtube.com/watch?v=FDU3zV2_n04
@irasuraya9120,3 weeks ago,"Sebelum ini ada yg 2018, mukanya mirip yaris gak kesebut😅",0,https://youtube.com/watch?v=FDU3zV2_n04
@pramikozul4464,3 months ago,seumur2 bru sekali doang liat ni mobil d semarang...apa emg ga laku ato emg ga dipasarin ya sma toyota?,0,https://youtube.com/watch?v=FDU3zV2_n04
@SHN0o1,4 months ago,Vios itu bukannya gen ke 5??,0,https://youtube.com/watch?v=FDU3zV2_n04
@AhhahwhwGagwggw,5 months ago,"Yg jelas ex taxi pun lebih keren dan jauh lebih kenceng drpd LCGC,itu fakta",1,https://youtube.com/watch?v=FDU3zV2_n04
@gamekidsding,6 months ago,mobil irit buat harian santai ya vios,0,https://youtube.com/watch?v=FDU3zV2_n04
@YATSUP,6 months ago,kok ga kesebut yg Vios 2018??,0,https://youtube.com/watch?v=FDU3zV2_n04
@MoniSarmoni-o3l,7 months ago,Vios banyak yang komen gengsi tapi belum tentu yang ngomong gensi punya mobil,3,https://youtube.com/watch?v=FDU3zV2_n04
@aprialramadhan,7 months ago,Ogut masih pake Gen-1 Tahun 2004 G A/T. Depan belakang rem cakram. Main sparepart ORI pun enak dikantong.,0,https://youtube.com/watch?v=FDU3zV2_n04
@caldkein49,8 months ago,Varian vios di malaysia ada wireless charging di dlm arm rest dpn🗿,0,https://youtube.com/watch?v=FDU3zV2_n04
@tiknoanton4035,8 months ago,Menjadi takdir dan sdh sunatuloh. Klu orang pakai vios bukan dt bekasnya tci  pasti  dbilang bekas  mantan.. derita luu,0,https://youtube.com/watch?v=FDU3zV2_n04
@Wahyu98nada,8 months ago,"Rencana mau beli gen 3 tp modif gen 4/5/ke lexus ,pintu modif lambo dor..",0,https://youtube.com/watch?v=FDU3zV2_n04
@ubayduri,9 months ago (edited),Kenapa tipe G malah ga dapet ducktail kya tipe E? bukannya tipe G lebih tinggi dari E yah?,0,https://youtube.com/watch?v=FDU3zV2_n04
@ramafauzi1374,9 months ago,Kalo ada versi wagon bakal keren nih,0,https://youtube.com/watch?v=FDU3zV2_n04
@bambangJuli-j7o,9 months ago,La gini om aq suka kalo. Gakpake topeng aq supkrep,0,https://youtube.com/watch?v=FDU3zV2_n04
@Yang_Mulia,9 months ago,"padahal naksir sama vios gen4 ini, pas liat reviewnya kecewa karna OM MOBI MANA ?!!!! OM MOBI REVIEW ULANG LAH PLEASE 🙏",0,https://youtube.com/watch?v=FDU3zV2_n04
@palyauma,10 months ago,ganteng juga ya Vios sekarang,0,https://youtube.com/watch?v=FDU3zV2_n04
@xripple7111,10 months ago,"apakah kalau beli di 2024 sekaranhg , untuk unit nya dapat yg 2022",0,https://youtube.com/watch?v=FDU3zV2_n04
@asmadivivo-sh6uk,10 months ago,Ini sagat bagus tapih kadang harganya kemahalan,0,https://youtube.com/watch?v=FDU3zV2_n04
@ryusei_llenn8276,2 months ago,"Pasar sedan emang makin ke sini makin berkurang bang, trennya udah ganti ke SUV atau Crossover.",0,https://youtube.com/watch?v=FDU3zV2_n04
@AhhahwhwGagwggw,5 months ago,"Betul bnget, justru pemakai LCGC Byk yg gengsi,pdhl LCGC it mobil murah n tenaga loyo 😂😂",0,https://youtube.com/watch?v=FDU3zV2_n04
@shobirinshobirin958,1 year ago,Besuk dipakai taksi online....... 😂😂😂,0,https://youtube.com/watch?v=FDU3zV2_n04
@ariffuddin7587,1 year ago,Brp cc ini ?,0,https://youtube.com/watch?v=FDU3zV2_n04
@sakti0707,1 year ago,Enak mana dengan honda city,0,https://youtube.com/watch?v=FDU3zV2_n04
@muhammadramdhan1725,1 year ago,"kerenn vios yang sekarang, semoga bisa punya yang warna item 🥹",0,https://youtube.com/watch?v=FDU3zV2_n04
@rezagresly7815,1 year ago,Yg ini generasi ke 5 bukan 4 soalnya ada yang mirip yaris cuma sedan 😬😬,0,https://youtube.com/watch?v=FDU3zV2_n04
@salmangrab8841,1 year ago,Om.mobi sdh buka topeng too.....xixixix,1,https://youtube.com/watch?v=FDU3zV2_n04
@Haisartika,1 year ago,justru enak yg d pake taxi ...efisien dlm segalanya,0,https://youtube.com/watch?v=FDU3zV2_n04
@bulanhyden2681,1 year ago,Ini sama hrv bgus mana,0,https://youtube.com/watch?v=FDU3zV2_n04
@kampaskering,1 year ago,"Sorry om vios gen 4 itu yg modelnya kyk yaris joker, ini gen 5 harusnya",0,https://youtube.com/watch?v=FDU3zV2_n04
